,external_id,Bill,last_scraped_at
0,HR 5595,,2022-06-23 01:54:18.496099
1,SR 292,,2022-06-23 01:54:18.496099
2,HR 6326,,2022-06-23 01:54:18.496099
3,HR 5469,,2022-06-23 01:54:18.496099
4,HR 5635,,2022-06-23 01:54:18.496099
5,HR 5645,,2022-06-23 01:54:18.496099
6,HR 5471,,2022-06-23 01:54:18.496099
7,HR 5862,,2022-06-23 01:54:18.496099
8,SR 141,,2022-06-23 01:54:18.496099
9,HR 5861,,2022-06-23 01:54:18.496099
10,SR 2588,,2022-06-23 06:52:45.728724
11,HR 7031,,2022-06-23 06:52:45.728724
12,HR 6027,,2022-06-23 01:54:18.496099
13,HR 8047,,2022-03-25 12:19:47.027322
14,HR 5729,,2022-06-23 01:54:18.496099
15,SR 125,,2022-06-23 01:54:18.496099
16,HR 8135,,2022-06-23 01:54:18.496099
17,HR 7975,,2022-06-23 01:54:18.496099
18,HR 7989,,2022-06-23 01:54:18.496099
19,HR 8051,,2022-06-23 01:54:18.496099
20,HR 8052,,2022-06-23 01:54:18.496099
21,HR 8007,,2022-06-23 01:54:18.496099
22,HR 5420,,2022-06-23 01:54:18.496099
23,HR 8155,,2022-06-23 01:54:18.496099
24,HR 8193,,2022-06-23 01:54:18.496099
25,HR 8171,,2022-06-23 01:54:18.496099
26,HR 8180,,2022-06-23 01:54:18.496099
27,SR 426,,2022-06-23 01:54:18.496099
28,SR 15,,2022-06-23 01:54:18.496099
29,HR 8245,,2022-06-23 01:54:18.496099
30,HR 8283,,2022-06-23 01:54:18.496099
31,SR 595,,2022-06-23 01:54:18.496099
32,HR 8352,,2022-06-23 01:54:18.496099
33,SB 29,,2022-06-23 01:54:18.496099
34,SR 438,,2022-06-23 01:54:18.496099
35,SR 205,,2022-06-23 01:54:18.496099
36,SR 377,,2022-06-23 01:54:18.496099
37,SR 180,,2022-06-23 01:54:18.496099
38,SR 569,,2022-06-23 01:54:18.496099
39,SR 663,,2022-06-23 01:54:18.496099
40,SR 705,,2022-06-23 01:54:18.496099
41,HR 6372,,2022-06-23 01:54:18.496099
42,SR 810,,2022-06-23 01:54:18.496099
43,SR 977,,2022-06-23 01:54:18.496099
44,HR 5019,,2022-06-23 01:54:18.496099
45,HR 5015,,2022-06-23 01:54:18.496099
46,SR 983,,2022-06-23 01:54:18.496099
47,HR 5230,,2022-06-23 01:54:18.496099
48,SB 336,,2021-03-25 15:02:23.640584
49,HR 5419,,2022-06-23 01:54:18.496099
50,HR 5421,,2022-06-23 01:54:18.496099
51,HR 5742,,2022-06-23 01:54:18.496099
52,SR 427,,2022-06-23 01:54:18.496099
53,HR 6234,,2022-06-23 01:54:18.496099
54,HR 6449,,2022-06-23 01:54:18.496099
55,SR 2824,,2022-06-21 20:00:12.040834
56,SR 864,,2022-06-23 01:54:18.496099
57,HR 6398,,2022-06-23 01:54:18.496099
58,HR 8179,,2022-06-23 01:54:18.496099
59,HR 8156,,2022-06-23 01:54:18.496099
60,HR 5061,,2022-06-23 01:54:18.496099
61,HR 8181,,2022-06-23 01:54:18.496099
62,HR 5983,,2022-06-23 01:54:18.496099
63,SR 2092,,2022-06-23 06:52:45.728724
64,SR 2095,,2022-06-23 06:52:45.728724
65,SR 388,,2022-06-23 01:54:18.496099
66,SR 2131,,2022-06-23 06:52:45.728724
67,SR 58,,2022-06-23 01:54:18.496099
68,SR 2216,,2022-06-23 06:52:45.728724
69,SR 2225,,2022-06-23 06:52:45.728724
70,SR 2355,,2022-06-23 06:52:45.728724
71,SR 2851,,2022-06-23 06:52:45.728724
72,SB 2824,,2022-06-23 06:52:45.728724
73,SR 2437,,2022-06-23 06:52:45.728724
74,SR 2450,,2022-06-23 06:52:45.728724
75,SR 2452,,2022-06-23 06:52:45.728724
76,HR 6475,,2022-06-23 01:54:18.496099
77,SR 2468,,2022-06-23 06:52:45.728724
78,SR 2461,,2022-06-23 06:52:45.728724
79,HR 8296,,2022-06-23 01:54:18.496099
80,HB 7320,,2022-05-12 18:45:45.084376
81,HR 7225,,2022-06-23 06:52:45.728724
82,SR 2881,,2022-06-23 06:52:45.728724
83,SR 2884,,2022-06-23 06:52:45.728724
84,HR 6002,,2022-06-23 01:54:18.496099
85,SR 3028,,2022-06-23 06:52:45.728724
86,SR 3042,,2022-06-23 06:52:45.728724
87,HR 6660,,2022-06-23 06:52:45.728724
88,HR 7288,,2022-06-23 06:52:45.728724
89,SR 161,,2022-06-23 01:54:18.496099
90,HR 7256,,2022-06-23 06:52:45.728724
91,HR 7182,,2022-06-23 06:52:45.728724
92,HR 7217,,2022-06-23 06:52:45.728724
93,HR 7268,,2022-06-23 06:52:45.728724
94,HR 7221,,2022-06-23 06:52:45.728724
95,HR 7425,,2022-06-23 06:52:45.728724
96,HR 7452,,2022-06-23 06:52:45.728724
97,HR 7556,,2022-06-23 06:52:45.728724
98,SR 2648,,2022-06-23 06:52:45.728724
99,HR 7557,,2022-06-23 06:52:45.728724
100,HR 5022,,2022-06-23 01:54:18.496099
101,HR 7519,,2022-06-23 06:52:45.728724
102,SR 2154,,2022-06-23 06:52:45.728724
103,SR 2462,,2022-06-23 06:52:45.728724
104,HR 7663,,2022-06-23 06:52:45.728724
105,HR 7675,,2022-06-23 06:52:45.728724
106,HR 7241,,2022-06-23 06:52:45.728724
107,SR 2526,,2022-06-23 06:52:45.728724
108,SR 2442,,2022-06-23 06:52:45.728724
109,SR 274,,2022-06-23 01:54:18.496099
110,HR 7784,,2022-06-23 06:52:45.728724
111,HR 7930,,2022-06-23 01:54:18.496099
112,HR 8034,,2022-06-23 01:54:18.496099
113,SR 2546,,2022-06-23 06:52:45.728724
114,SR 2307,,2022-06-23 06:52:45.728724
115,HR 8351,,2022-06-23 01:54:18.496099
116,SR 3002,,2022-06-23 06:52:45.728724
